id,src_ns,src_labels,dst_host,dst_port,protocol,expected,cnp_ref,description
# Apps -> Keycloak :8080 is INTENTIONALLY allowed by `allow-keycloak-ingress`
# (12-security.yaml) so workloads in `job7189-apps` can fetch the OIDC
# discovery document (`/realms/<r>/.well-known/openid-configuration`) and
# JWKS (`/protocol/openid-connect/certs`) directly — Kong does not proxy
# these public-key endpoints. This is documented as an explicit
# microsegmentation deviation in chap-4. Tightening this to a per-app
# allow list is tracked for Phase 2D (L7 policy: restrict by URL path).
N07,job7189-apps,,keycloak.security.svc.cluster.local,8080,TCP,ALLOW,12-security.yaml/allow-keycloak-ingress,Apps -> Keycloak (direct OIDC/JWKS — intentional)

# Random pod can't reach OPA decision endpoint (only Kong is whitelisted).
N08,job7189-apps,,opa.security.svc.cluster.local,8181,TCP,DROP,12-security.yaml/default-deny-security,Apps pod -> OPA (only Kong allowed)

# ----------------------------------------------------------------------------
# Anomaly-injection scenarios (NOT executed by --quick / --full modes —
# only the dedicated --anomaly mode runs these). Captured here so the
# Phase 2 ML detector (Tetragon kprobe + statistical UEBA) has a
# repeatable corpus of "known bad" behaviour for training / evaluation.
# ----------------------------------------------------------------------------
# A01,job7189-apps,zta.test/scenario=burst,kafka.data.svc.cluster.local,9092,TCP,ANOMALY,phase2-ueba,Burst 200 req/s for 60s (vs baseline ~1 req/s)
# A02,job7189-apps,zta.test/scenario=exec-shell,n/a,n/a,EXEC,ANOMALY,phase2-tetragon,exec /bin/sh inside container that never uses a shell
# A03,job7189-apps,zta.test/scenario=ti-egress,8.8.8.8,80,TCP,ANOMALY,phase2-ti-feed,Egress to threat-intel CIDR (FireHOL block list)
# A04,job7189-apps,zta.test/scenario=dns-exfil,c2.evil.example,53,UDP,ANOMALY,phase2-ti-feed,DNS query for known-bad domain
